Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/12/22, 19:00:42, -51.715050, -61.312721, 49.90,  0.00, 344, 0, 0.00, 
2017/12/22, 19:00:47, -51.715050, -61.312721, 49.90,  0.00, 344, 0, 0.00, 
2017/12/22, 19:00:52, -51.715050, -61.312721, 49.90,  0.00, 344, 0, 0.00, 
2017/12/22, 19:00:57, -51.715050, -61.312721, 49.90,  0.00, 344, 0, 0.00, 
2017/12/22, 19:01:02, -51.715069, -61.312778, 51.00,  13752.00, 251, 0, 4.46, 
2017/12/22, 19:01:07, -51.715355, -61.313183, 47.35,  41040.00, 235, 0, 42.31, 
2017/12/22, 19:01:12, -51.715496, -61.314026, 47.89,  39240.00, 235, 0, 60.16, 
2017/12/22, 19:01:17, -51.715595, -61.314766, 47.05,  40392.00, 279, 0, 52.16, 
2017/12/22, 19:01:22, -51.715778, -61.315525, 42.29,  37296.00, 252, 0, 56.11, 
2017/12/22, 19:01:27, -51.716087, -61.316193, 35.47,  44928.00, 234, 0, 57.43, 
2017/12/22, 19:01:32, -51.716316, -61.317020, 25.30,  48348.00, 268, 0, 62.40, 
2017/12/22, 19:01:37, -51.716251, -61.318119, 4.96,  56628.00, 266, 0, 76.06, 
2017/12/22, 19:01:42, -51.716396, -61.319214, -6.66,  53424.00, 232, 0, 77.14, 
2017/12/22, 19:01:47, -51.716919, -61.319668, -3.51,  35676.00, 234, 0, 66.03, 
2017/12/22, 19:01:52, -51.716915, -61.320133, -4.36,  3528.00, 284, 0, 32.04, 1
2017/12/22, 19:01:57, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.44, 
2017/12/22, 19:02:02, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:07, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:12, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:17, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
